fold,split,learning_rate,batch_size,epochs,weight_decay,fold_selected_threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,threshold
1,val,4.031170288036927e-05,16,3,0.021233911067827616,0.48000000000000004,0.9020423600605144,0.8765251342118107,0.871421639980592,0.8739659367396594,0.9640894610866857,2974,253,265,1796,0.48000000000000004
2,val,4.031170288036927e-05,16,3,0.021233911067827616,0.42000000000000004,0.9009077155824509,0.8728772440562833,0.8728772440562833,0.8728772440562833,0.963119058369558,2965,262,262,1799,0.42000000000000004
3,val,4.031170288036927e-05,16,3,0.021233911067827616,0.39,0.8973146747352496,0.8583569405099151,0.8820960698689956,0.8700646087580761,0.9650932430110031,2927,300,243,1818,0.39
4,val,4.031170288036927e-05,16,3,0.021233911067827616,0.27,0.8940998487140696,0.858508604206501,0.8718446601941747,0.8651252408477842,0.960557124553362,2932,296,264,1796,0.27
5,val,4.031170288036927e-05,16,3,0.021233911067827616,0.43,0.8872706638925667,0.8515850144092219,0.8606796116504855,0.8561081603090295,0.9591671154488373,2918,309,287,1773,0.43
