mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_preprocess__text__max_df,param_preprocess__text__max_features,param_preprocess__text__min_df,param_preprocess__text__ngram_range,param_preprocess__text__sublinear_tf,param_clf__l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1
40.15275821685791,7.128202596856342,0.20174932479858398,0.05919271356211593,3.683151106517762,,l1,0.95,20000,5,"(1, 2)",True,,"{'clf__C': np.float64(3.683151106517762), 'clf__class_weight': None, 'clf__penalty': 'l1', 'preprocess__text__max_df': 0.95, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 5, 'preprocess__text__ngram_range': (1, 2), 'preprocess__text__sublinear_tf': True}",0.840393343419062,0.8436081694402421,0.8437972768532527,0.845499243570348,0.8471723094382447,0.84409406854423,0.002256972908776236,1,0.9330528107418089,0.9331946480071864,0.9339511134225332,0.9351803697224718,0.933481467473525,0.933772081873505,0.0007681880657018303,0.8292303359780586,0.8331315004026165,0.8334508511078014,0.8361837866200368,0.8374820548733592,0.8338957057963746,0.002851132921385725,1,0.9290006055301752,0.9291696736780135,0.9299381610688573,0.931288160406273,0.929455611890267,0.9297704425147172,0.0008227135117118634
2.8943272113800047,0.34875573458342,0.21956205368041992,0.04111116175200993,13.407343361949266,balanced,l2,1.0,20000,3,"(1, 2)",True,,"{'clf__C': np.float64(13.407343361949266), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'preprocess__text__max_df': 1.0, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 3, 'preprocess__text__ngram_range': (1, 2), 'preprocess__text__sublinear_tf': True}",0.8360438729198184,0.8449319213313162,0.8375567322239031,0.8420953101361573,0.8439568753546435,0.8409169423931677,0.0035153269348804344,2,0.9770696420973004,0.9783461774856981,0.9781097820434022,0.9795281546971775,0.9798127836611196,0.9785733079969395,0.0009975457743408968,0.8279195201485072,0.8374569123020934,0.829941638176612,0.8347758162787065,0.8367615610456616,0.8333710895903161,0.003785320260387089,2,0.9760136085818358,0.977353159363922,0.9771035510280937,0.978576432703079,0.9788721824447608,0.9775837868243382,0.0010387092253393959
91.37337565422058,3.5487067357307804,0.1700533390045166,0.020297783407348224,15.922610892912946,balanced,elasticnet,0.95,20000,3,"(1, 2)",True,0.21364247048639057,"{'clf__C': np.float64(15.922610892912946), 'clf__class_weight': 'balanced', 'clf__l1_ratio': np.float64(0.21364247048639057), 'clf__penalty': 'elasticnet', 'preprocess__text__max_df': 0.95, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 3, 'preprocess__text__ngram_range': (1, 2), 'preprocess__text__sublinear_tf': True}",0.836232980332829,0.844553706505295,0.8364220877458396,0.841338880484115,0.8439568753546435,0.8405009060845444,0.003575557724410319,3,0.9808046900855751,0.9818921091201361,0.9814665973240035,0.9827431327124013,0.9829330559757943,0.9819679170435819,0.0007927947716760179,0.8279539836882297,0.837088141904959,0.8286095597760561,0.8340119504098659,0.8367344074158294,0.8328796086389879,0.003907646918393612,3,0.9799118943267148,0.9810455354517437,0.9806045876257936,0.9819295281429796,0.9821311110147136,0.9811245313123891,0.0008256261668149152
1.2631939888000487,0.058373904716186885,0.09008264541625977,0.019305711276362027,12.484909844460324,,l2,0.98,20000,5,"(1, 1)",False,,"{'clf__C': np.float64(12.484909844460324), 'clf__class_weight': None, 'clf__penalty': 'l2', 'preprocess__text__max_df': 0.98, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 5, 'preprocess__text__ngram_range': (1, 1), 'preprocess__text__sublinear_tf': False}",0.8350983358547656,0.8364220877458396,0.8360438729198184,0.837178517397882,0.8352562890107812,0.8359998205858175,0.0007661710332204853,4,0.9124391281736088,0.9104061273698643,0.9106425228121602,0.9136211053850882,0.9115922844175491,0.9117402336316541,0.0011859873240954678,0.8235649916740131,0.8257789701994253,0.8254801621737485,0.8271954651641942,0.8239830671247079,0.8252005312672177,0.0013076509469061982,4,0.9070587658038516,0.9048755469146772,0.905105842213694,0.9083111576863978,0.906221408597392,0.9063145442432023,0.0012712733088557143
9.962692832946777,0.6107813837150375,0.08912630081176758,0.007576972442517153,2.2173933930791443,,elasticnet,0.98,20000,2,"(1, 1)",True,0.7958637582367365,"{'clf__C': np.float64(2.2173933930791443), 'clf__class_weight': None, 'clf__l1_ratio': np.float64(0.7958637582367365), 'clf__penalty': 'elasticnet', 'preprocess__text__max_df': 0.98, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 2, 'preprocess__text__ngram_range': (1, 1), 'preprocess__text__sublinear_tf': True}",0.828857791225416,0.8383131618759455,0.8350983358547656,0.8390695915279879,0.8384717230943824,0.8359621207156994,0.003813121956559383,5,0.8910217011016027,0.8895560493593684,0.8906434683939294,0.8912108174554395,0.8910741301059002,0.890701233283248,0.0006026957264563194,0.8153345087318118,0.8260695950129517,0.8229342904762731,0.8277247148373399,0.8267172086225795,0.8237560635361912,0.004504861763736718,5,0.8831368579517322,0.881618087198749,0.8827682715079712,0.8834680751756696,0.8833710885136095,0.8828724760695463,0.0006719524498133566
5.601921415328979,0.858695546430182,0.09683198928833008,0.02051719889805591,1.5302562995700701,,l1,1.0,20000,3,"(1, 1)",False,,"{'clf__C': np.float64(1.5302562995700701), 'clf__class_weight': None, 'clf__penalty': 'l1', 'preprocess__text__max_df': 1.0, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 3, 'preprocess__text__ngram_range': (1, 1), 'preprocess__text__sublinear_tf': False}",0.8358547655068078,0.8316944024205749,0.8315052950075643,0.8343419062027232,0.8373368640060526,0.8341466466287446,0.002285761289396487,6,0.8733866011063307,0.8726301356909839,0.8701243440026476,0.8731502056640348,0.8717378971255674,0.8722058367179129,0.0011847063983697534,0.8223095166863946,0.8184153094268997,0.8187853043731337,0.8216237696964096,0.8245557577469398,0.8211379315859555,0.002290751501465874,6,0.8637205745037597,0.8629952946824835,0.8600608231998164,0.8634253709353586,0.8618870232277598,0.8624178173098356,0.0013328904173095463
2.78500714302063,0.5741142648226515,0.20461106300354004,0.06461089240476298,0.10397759697241077,balanced,l2,0.95,40000,3,"(1, 2)",True,,"{'clf__C': np.float64(0.10397759697241077), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'preprocess__text__max_df': 0.95, 'preprocess__text__max_features': 40000, 'preprocess__text__min_df': 3, 'preprocess__text__ngram_range': (1, 2), 'preprocess__text__sublinear_tf': True}",0.8209152798789713,0.8142965204236006,0.8137291981845688,0.81732223903177,0.8184225458672215,0.8169371566772264,0.002662483471812485,7,0.8481395678691315,0.8494633823459884,0.8490378705498558,0.8515909413266513,0.8489031770045385,0.8494269878192331,0.0011633795159519838,0.8136373378223498,0.8065222458492279,0.8068351192138622,0.810205166251721,0.8108627798198778,0.8096125297914079,0.0026599732011159047,7,0.841633658008093,0.8430141865186076,0.8426987297381585,0.8451677477590522,0.8425028184724797,0.8430034280992782,0.0011750843821350734
2.641197395324707,0.39854623513774007,0.22222185134887695,0.07948904179945548,0.014407524139905934,balanced,l2,0.98,40000,3,"(1, 2)",False,,"{'clf__C': np.float64(0.014407524139905934), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'preprocess__text__max_df': 0.98, 'preprocess__text__max_features': 40000, 'preprocess__text__min_df': 3, 'preprocess__text__ngram_range': (1, 2), 'preprocess__text__sublinear_tf': False}",0.7819591527987897,0.7834720121028744,0.7738275340393344,0.7880105900151286,0.783431057310384,0.7821400692533022,0.004626763628716263,8,0.7984965249869983,0.8017587820906813,0.7998203394638551,0.7984965249869983,0.7998770801815431,0.7996898503420152,0.001198383228372225,0.7695089950467069,0.7717780177145726,0.7625587178778668,0.7774291696539719,0.7715854273705075,0.7705720655327252,0.004792597610996831,8,0.7871717632744307,0.790756744216524,0.7890414816402016,0.7872988295277038,0.7889209786321605,0.788637959458204,0.0013172075824525867
0.9396989822387696,0.0464831560229056,0.07727227210998536,0.0012425383709676566,0.002737095165771331,balanced,elasticnet,1.0,20000,5,"(1, 1)",False,0.26692291942341057,"{'clf__C': np.float64(0.002737095165771331), 'clf__class_weight': 'balanced', 'clf__l1_ratio': np.float64(0.26692291942341057), 'clf__penalty': 'elasticnet', 'preprocess__text__max_df': 1.0, 'preprocess__text__max_features': 20000, 'preprocess__text__min_df': 5, 'preprocess__text__ngram_range': (1, 1), 'preprocess__text__sublinear_tf': False}",0.7091527987897126,0.7034795763993948,0.7087745839636914,0.7076399394856279,0.7077737847550596,0.7073641366786972,0.00202594970270446,9,0.707389721526169,0.7080043496761382,0.7068696515531181,0.7083353032953524,0.7085854765506808,0.7078369005202918,0.000628068505266444,0.6750091547910126,0.6692117733324716,0.6776146894752411,0.6764428233435364,0.6764093867726697,0.6749375655429862,0.002979559456877431,9,0.6753133984936344,0.6752525947309671,0.6742729150453115,0.6756964466291965,0.6756962844242038,0.6752463278646627,0.0005209871528973954
0.9847955226898193,0.039009639873837286,0.0797348976135254,0.002808602121596925,0.007833642249746978,,elasticnet,0.95,60000,2,"(1, 1)",True,0.9349077972261094,"{'clf__C': np.float64(0.007833642249746978), 'clf__class_weight': None, 'clf__l1_ratio': np.float64(0.9349077972261094), 'clf__penalty': 'elasticnet', 'preprocess__text__max_df': 0.95, 'preprocess__text__max_features': 60000, 'preprocess__text__min_df': 2, 'preprocess__text__ngram_range': (1, 1), 'preprocess__text__sublinear_tf': True}",0.6917549167927383,0.6889183055975794,0.6913767019667171,0.6959152798789713,0.6941554756951012,0.6924241359862215,0.002409209079158374,10,0.6920712968653965,0.6911729941846722,0.6900855751501112,0.6896600633539786,0.6904784417549168,0.690693674261815,0.0008499473744680391,0.5763433638674283,0.5687975713200191,0.5737350128373192,0.5840859933145441,0.5795831759878856,0.5765090234654393,0.0051778365768716415,10,0.5752613992356859,0.5739348946895957,0.5716422467800341,0.5706111666659739,0.5725823119169142,0.5728064038576408,0.001644690797137685
