mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__learning_rate,param_clf__max_depth,param_clf__min_child_weight,param_clf__n_estimators,param_clf__reg_lambda,param_clf__scale_pos_weight,param_clf__subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1
2.47358660697937,0.11908536963892176,0.1737462043762207,0.042102211746642484,0.6323674280979913,0.012571674274693702,0.10033798041734301,6,5,215,0.7536627571597799,1.0,0.7247876687446625,"{'clf__colsample_bytree': np.float64(0.6323674280979913), 'clf__gamma': np.float64(0.012571674274693702), 'clf__learning_rate': np.float64(0.10033798041734301), 'clf__max_depth': 6, 'clf__min_child_weight': 5, 'clf__n_estimators': 215, 'clf__reg_lambda': np.float64(0.7536627571597799), 'clf__scale_pos_weight': 1.0, 'clf__subsample': np.float64(0.7247876687446625)}",0.840393343419062,0.8426626323751891,0.837178517397882,0.8335854765506808,0.8257991299413656,0.835923819936836,0.005915060375891044,1,0.970734244243771,0.9702141742707201,0.9703560115360976,0.968323010732353,0.9688445537065052,0.9696943988978894,0.0009372425955409454,0.8288014592340003,0.8316583406797924,0.8255913626321219,0.8224194254245083,0.8145156286086601,0.8245972433158165,0.005914467796117628,1,0.9690987125172602,0.9684978278678154,0.9686646228550075,0.9665488821875725,0.9670891997473536,0.9679798490350018,0.0009828524833126746
2.3078685760498048,0.1473026484133001,0.2002347469329834,0.05653989920143524,0.790021126953127,0.3485842360750871,0.13780776958458138,6,4,149,2.4207331873591027,1.566145782781714,0.686626386410202,"{'clf__colsample_bytree': np.float64(0.790021126953127), 'clf__gamma': np.float64(0.3485842360750871), 'clf__learning_rate': np.float64(0.13780776958458138), 'clf__max_depth': 6, 'clf__min_child_weight': 4, 'clf__n_estimators': 149, 'clf__reg_lambda': np.float64(2.4207331873591027), 'clf__scale_pos_weight': 1.566145782781714, 'clf__subsample': np.float64(0.686626386410202)}",0.8369894099848714,0.8320726172465961,0.8252647503782148,0.8320726172465961,0.827879704936637,0.8308558199585832,0.004017447885590745,4,0.9659117772209351,0.9669046380785778,0.9674247080516287,0.9648243581863741,0.9666225416036308,0.9663376046282293,0.0009006390666101591,0.829866431374481,0.8247064494222165,0.8182059278540383,0.8250701284999988,0.8204280759796421,0.8236554026260754,0.0040446369269291635,2,0.9643844721421521,0.9654506621444994,0.9660038889086207,0.9632864155054484,0.9651612510687269,0.9648573379538895,0.0009434378923124036
2.054022216796875,0.17200218032170217,0.17096543312072754,0.03842928636568997,0.7349262400109297,0.15806009440072577,0.17402177501189842,5,4,159,1.9027052882472772,1.0,0.7314047095321687,"{'clf__colsample_bytree': np.float64(0.7349262400109297), 'clf__gamma': np.float64(0.15806009440072577), 'clf__learning_rate': np.float64(0.17402177501189842), 'clf__max_depth': 5, 'clf__min_child_weight': 4, 'clf__n_estimators': 159, 'clf__reg_lambda': np.float64(1.9027052882472772), 'clf__scale_pos_weight': 1.0, 'clf__subsample': np.float64(0.7314047095321687)}",0.8328290468986385,0.8419062027231468,0.8335854765506808,0.833963691376702,0.8318517117457915,0.8348272258589919,0.0036123662600984455,2,0.9548484705214884,0.9565977967944778,0.9529573069831213,0.9524372370100704,0.9486100605143721,0.953090174364706,0.0026799411011033275,0.8209510531295126,0.831298454153283,0.8220198700825829,0.8227151231522579,0.8205284055751345,0.8235025812185542,0.003973667668047346,3,0.9522097700981565,0.9540580864478905,0.9501728246525922,0.9496659019861954,0.9455336584060068,0.9503280483181683,0.00286016671149077
2.249778652191162,0.14865499844526964,0.1904132843017578,0.04858637683029496,0.6932946965146987,0.13007332881069883,0.1197430076894016,6,3,154,0.1881455360176988,1.0,0.9415136286167312,"{'clf__colsample_bytree': np.float64(0.6932946965146987), 'clf__gamma': np.float64(0.13007332881069883), 'clf__learning_rate': np.float64(0.1197430076894016), 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__n_estimators': 154, 'clf__reg_lambda': np.float64(0.1881455360176988), 'clf__scale_pos_weight': 1.0, 'clf__subsample': np.float64(0.9415136286167312)}",0.8364220877458396,0.835287443267776,0.833963691376702,0.8343419062027232,0.8286362776621903,0.8337302812510462,0.002685070341101238,3,0.9661008935747719,0.9682757316438939,0.96506075362867,0.9660063353978535,0.9657242813918305,0.9662335991274041,0.001083931354011329,0.8249632112859413,0.8240029059202585,0.822460956709184,0.8230829409853301,0.8166271338531554,0.8222274297507738,0.0029252885221874715,4,0.9641733721699899,0.96644062960372,0.9630448633041403,0.964038276607392,0.9637494117334331,0.964289310683735,0.0011440955466268973
2.478612947463989,0.06383596198848594,0.18220939636230468,0.04282511394537556,0.7231148769106889,0.3022204554172195,0.046305231863574915,6,3,205,2.3787910031720787,1.566145782781714,0.8924361138693251,"{'clf__colsample_bytree': np.float64(0.7231148769106889), 'clf__gamma': np.float64(0.3022204554172195), 'clf__learning_rate': np.float64(0.046305231863574915), 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__n_estimators': 205, 'clf__reg_lambda': np.float64(2.3787910031720787), 'clf__scale_pos_weight': 1.566145782781714, 'clf__subsample': np.float64(0.8924361138693251)}",0.8239409984871406,0.8296142208774584,0.819213313161876,0.8245083207261724,0.819368261774163,0.823329023005362,0.0038443638340393558,6,0.9086568010968749,0.9158905016311285,0.9106425228121602,0.9055363812585694,0.9063445537065052,0.9094141521010476,0.003700949051088682,0.8178237456706512,0.8238447419214522,0.8135450114816364,0.8186808866607744,0.8134459978854613,0.817468076723995,0.0038425727439310923,5,0.9053646041511418,0.912873333821826,0.907364096634607,0.9022661329332553,0.903022302040591,0.9061780939162842,0.003798870003936743
2.5148927688598635,0.26400435294542535,0.15994038581848144,0.007771470852140917,0.8486212527455788,0.1427013306774357,0.05111938883158829,6,5,160,0.06304248227036305,1.0,0.6723651931039313,"{'clf__colsample_bytree': np.float64(0.8486212527455788), 'clf__gamma': np.float64(0.1427013306774357), 'clf__learning_rate': np.float64(0.05111938883158829), 'clf__max_depth': 6, 'clf__min_child_weight': 5, 'clf__n_estimators': 160, 'clf__reg_lambda': np.float64(0.06304248227036305), 'clf__scale_pos_weight': 1.0, 'clf__subsample': np.float64(0.6723651931039313)}",0.8294251134644478,0.8292360060514372,0.8258320726172466,0.8301815431164902,0.8223945526763761,0.8274138575851996,0.002923043752581201,5,0.9052527067278143,0.9120608954659354,0.9018486123587537,0.9018486123587537,0.9000094553706506,0.9042040564563816,0.0042783290821613576,0.8160075544596925,0.8166199966012748,0.8120697044662968,0.8179247684865663,0.8083336470187626,0.8141911342065186,0.0035199261442073215,6,0.898448243420668,0.9060331315253833,0.8947388027886289,0.8949259466756336,0.8927953822949912,0.8973883013410611,0.00469115134203394
2.610764169692993,0.10301042581801022,0.18009285926818847,0.04133885950141893,0.8960660809801552,0.308897907718663,0.04373658216581733,6,3,200,0.8315542610203959,1.7227603610598856,0.8813811040057837,"{'clf__colsample_bytree': np.float64(0.8960660809801552), 'clf__gamma': np.float64(0.308897907718663), 'clf__learning_rate': np.float64(0.04373658216581733), 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': np.float64(0.8315542610203959), 'clf__scale_pos_weight': 1.7227603610598856, 'clf__subsample': np.float64(0.8813811040057837)}",0.81732223903177,0.8203479576399395,0.8129727685325264,0.8178895612708018,0.8157745413277852,0.8168614135605645,0.002438371950743978,9,0.8970734244243771,0.9079948938584465,0.9023686823318047,0.900288402439601,0.8984493192133132,0.9012349444535085,0.0038198475427632375,0.8123592751867661,0.8156060232331419,0.8087142982389117,0.8131407281478495,0.8109686906700457,0.8121578030953429,0.002287735510825124,7,0.8941209257259686,0.9052358668758791,0.899358429332473,0.8973543090548792,0.8954682769447051,0.8983075615867812,0.0038885443213939634
2.4628076553344727,0.10160983188322377,0.17508630752563475,0.037387569345216067,0.7532241907732697,0.16696440125951162,0.045721221141674866,5,2,291,0.04559187590120283,1.7227603610598856,0.7469608796062266,"{'clf__colsample_bytree': np.float64(0.7532241907732697), 'clf__gamma': np.float64(0.16696440125951162), 'clf__learning_rate': np.float64(0.045721221141674866), 'clf__max_depth': 5, 'clf__min_child_weight': 2, 'clf__n_estimators': 291, 'clf__reg_lambda': np.float64(0.04559187590120283), 'clf__scale_pos_weight': 1.7227603610598856, 'clf__subsample': np.float64(0.7469608796062266)}",0.8178895612708018,0.8212934947049925,0.8107034795763994,0.8175113464447806,0.8142613958766787,0.8163318555747306,0.003588897556267034,10,0.899484657935795,0.902463240508723,0.9019904496241312,0.8941421209399083,0.8979765506807866,0.8992114039378688,0.003019758150488172,0.8127147020024014,0.8165879289946041,0.8061437549878278,0.8125179223074288,0.8092973455046069,0.8114523307593737,0.0035193287401639045,8,0.8964393727277452,0.8995666383850438,0.8988723358011452,0.8909803501019844,0.8948911411007575,0.8961499676233352,0.0030815019855560035
2.2268274784088136,0.07577395736247144,0.1770705223083496,0.03907491719623634,0.7068893514230925,0.3627313766183016,0.050272836956763774,5,1,235,0.08944843936739705,1.7227603610598856,0.6520856391593572,"{'clf__colsample_bytree': np.float64(0.7068893514230925), 'clf__gamma': np.float64(0.3627313766183016), 'clf__learning_rate': np.float64(0.050272836956763774), 'clf__max_depth': 5, 'clf__min_child_weight': 1, 'clf__n_estimators': 235, 'clf__reg_lambda': np.float64(0.08944843936739705), 'clf__scale_pos_weight': 1.7227603610598856, 'clf__subsample': np.float64(0.6520856391593572)}",0.8165658093797277,0.8226172465960666,0.8142965204236006,0.8122163388804842,0.8123699640627955,0.8156131758685348,0.0038407036663576717,11,0.8880431185286748,0.8902652356862559,0.8882795139709706,0.8850645359557467,0.8848808623298033,0.8873066532942901,0.002056871443280845,0.8117240447748922,0.8180701559797723,0.8097893843697523,0.8075548599509301,0.8075936736017562,0.8109464237354207,0.0038841893369660836,9,0.8849445976099806,0.8872083972098027,0.8850222574438538,0.8818703797363685,0.8816496841616458,0.8841390632323304,0.0021068299255764837
2.526275873184204,0.25211564992816654,0.1629274845123291,0.009745710730680401,0.7822634555704315,0.06820964947491662,0.03394046833983564,6,1,179,0.3313584146832685,1.566145782781714,0.7413841307520113,"{'clf__colsample_bytree': np.float64(0.7822634555704315), 'clf__gamma': np.float64(0.06820964947491662), 'clf__learning_rate': np.float64(0.03394046833983564), 'clf__max_depth': 6, 'clf__min_child_weight': 1, 'clf__n_estimators': 179, 'clf__reg_lambda': np.float64(0.3313584146832685), 'clf__scale_pos_weight': 1.566145782781714, 'clf__subsample': np.float64(0.7413841307520113)}",0.8114599092284418,0.8190242057488654,0.811838124054463,0.8165658093797277,0.8116133913372423,0.814100287949748,0.0031176081362642005,12,0.8752304855562385,0.8869084204056545,0.8771689281830646,0.873481159283249,0.8757091527987897,0.8776996292453993,0.0047526336722821996,0.8060268393503258,0.8135883792027527,0.8066156290646688,0.8111437471870531,0.8062078528875326,0.8087164895384665,0.003084411752828751,10,0.8716221599825673,0.8834665246038402,0.8731978875357989,0.8696611073595872,0.8719439145901409,0.8739783188143869,0.004877780680134343
