trial_number,state,value,learning_rate,batch_size,epochs,weight_decay,warmup_ratio,label_smoothing_factor,hidden_dropout_prob,cv_oof_accuracy,cv_oof_precision,cv_oof_recall,cv_oof_f1,cv_oof_roc_auc,cv_selected_threshold
26,TrialState.COMPLETE,0.8767815434482101,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.9022277695828133,0.8614649681528662,0.8926526254488983,0.8767815434482101,0.9609512966822675,0.51
12,TrialState.PRUNED,0.8764179104477612,2.813291062737844e-05,32,5,0.2084737482211883,0.14285128052483914,0.0,0.2,,,,,,
27,TrialState.COMPLETE,0.876265627228217,2.9283972375064024e-05,32,5,0.06306211755423409,0.08993044276730287,0.0,0.1,0.9015469571466395,0.8586733743245761,0.894593807628846,0.876265627228217,0.9661879923061045,0.56
23,TrialState.COMPLETE,0.875549188156638,3.6529501154160016e-05,32,5,0.16529001246220815,0.13399902017944512,0.0,0.2,0.9014334884072771,0.8618031399830779,0.889740852178977,0.875549188156638,0.9633731909267201,0.39
13,TrialState.COMPLETE,0.8755422088755422,4.9858140880002863e-05,32,5,0.10429002914897481,0.14856543181001197,0.0,0.2,0.9012443738416733,0.8602472836268266,0.8913908570319324,0.8755422088755422,0.9636740946158373,0.33
19,TrialState.COMPLETE,0.8752171395483498,3.6477940571867757e-05,32,5,0.12599642270342223,0.14922372144534596,0.0,0.2,0.9021899466696925,0.8702619710200556,0.8802290594972338,0.8752171395483498,0.962054865849346,0.5
22,TrialState.COMPLETE,0.875143733231123,3.781109701500039e-05,32,5,0.15408434011581162,0.14959132078410017,0.0,0.2,0.9014334884072771,0.8641309490017978,0.8864408424730661,0.875143733231123,0.9636617877902913,0.47000000000000003
24,TrialState.COMPLETE,0.8746971605775753,3.45548708262146e-05,32,5,0.11177558532741086,0.13438594311005286,0.0,0.2,0.9021899466696925,0.8733430091920658,0.8760555178103465,0.8746971605775753,0.9670582611136408,0.53
11,TrialState.COMPLETE,0.8741994073224357,4.779760800082193e-05,32,5,0.2169547091549001,0.14525821424233828,0.0,0.2,0.9004500926661372,0.8611922026556172,0.8876055517810346,0.8741994073224357,0.9660137568895967,0.52
17,TrialState.PRUNED,0.8741115528249609,2.1724098313525656e-05,32,5,0.08422828627191123,0.1293278599514371,0.0,0.2,,,,,,
