fold,split,learning_rate,batch_size,epochs,weight_decay,warmup_ratio,label_smoothing_factor,hidden_dropout_prob,fold_selected_threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,threshold
1,val,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.12,0.9073373676248109,0.8672276764843385,0.9000485201358563,0.8833333333333333,0.9703363346052014,2943,284,206,1855,0.12
2,val,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.06999999999999999,0.9065809379727685,0.8652680652680653,0.9005337214944202,0.8825487398953875,0.9701129795949297,2938,289,205,1856,0.06999999999999999
3,val,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.52,0.903177004538578,0.8721768380586257,0.8806404657933042,0.8763882182520522,0.9683086981252162,2961,266,246,1815,0.52
4,val,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.53,0.9009077155824509,0.8688760806916427,0.8781553398058253,0.8734910671173346,0.9657445922209791,2955,273,251,1809,0.53
5,val,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.52,0.8955929638736524,0.8393339333933393,0.9053398058252428,0.8710882765063055,0.9655243530767402,2870,357,195,1865,0.52
