fold,split,learning_rate,batch_size,epochs,weight_decay,fold_selected_threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,threshold
1,val,2.594657353877965e-05,16,4,0.09656320330745594,0.3,0.8993948562783661,0.8898521162672106,0.8466763706938379,0.8677274987568374,0.9617316410977429,3011,216,316,1745,0.3
2,val,2.594657353877965e-05,16,4,0.09656320330745594,0.11,0.8986384266263238,0.8439332431213351,0.9078117418728773,0.8747078073866292,0.9646474351311946,2881,346,190,1871,0.11
3,val,2.594657353877965e-05,16,4,0.09656320330745594,0.53,0.8982602118003026,0.8701993193971803,0.8685104318292092,0.8693540553666829,0.9636984582565199,2960,267,271,1790,0.53
4,val,2.594657353877965e-05,16,4,0.09656320330745594,0.13,0.8931543116490166,0.8633932912007778,0.8621359223300971,0.8627641486519311,0.9578872216407405,2947,281,284,1776,0.13
5,val,2.594657353877965e-05,16,4,0.09656320330745594,0.43,0.8859466616228485,0.8331047096479195,0.8844660194174757,0.8580174240640452,0.9573232224465297,2862,365,238,1822,0.43
